sample_id,run_2,run_1,site
2019051301-01,164,120,Filter Blank
2019052101-01,340,275,Filter Blank
2019060401-01,208,126,Filter Blank
2019061001-01,167,106,Filter Blank
2019061801-01,125,90,Filter Blank
2020072701-02,130,97,Method blank
2021070601-02,127,101,Method blank
2021102601-02,204,156,Method blank
